#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2023 12 04 00 56  1.3  0.4 12.5  1.2  8.3 NNE NNE    AVERAGE  6.5  32
2023 12 04 00 26  1.3  0.3 12.5  1.2  7.7 NNE  NE    AVERAGE  6.4  38
2023 12 03 23 56  1.3  0.4 12.5  1.2  7.1 NNE NNE    AVERAGE  6.3  32
2023 12 03 23 26  1.4  0.5 12.5  1.4  8.3  NE  NE    AVERAGE  6.6  40
2023 12 03 22 56  1.3  0.4 12.5  1.2  7.7  NE NNE    AVERAGE  6.4  32
2023 12 03 22 26  1.4  0.5 12.5  1.3  7.7  NE NNE    AVERAGE  6.3  29
2023 12 03 21 56  1.4  0.5 12.5  1.4  7.7  NE NNE    AVERAGE  6.4  33
2023 12 03 21 26  1.4  0.5 12.5  1.4  7.7 NNE NNE    AVERAGE  6.3  32
2023 12 03 20 56  1.4  0.4 12.5  1.4  8.3 NNE NNE    AVERAGE  6.3  29
2023 12 03 20 26  1.4  0.4 12.5  1.3  7.1 NNE NNE      STEEP  6.0  32
2023 12 03 19 56  1.5  0.4 11.8  1.5  7.7  NE NNE    AVERAGE  6.2  31
2023 12 03 19 26  1.5  0.4 12.5  1.4  7.7 NNE  NE    AVERAGE  6.1  35
2023 12 03 18 56  1.4  0.3 12.5  1.3  7.7 NNE NNE    AVERAGE  6.0  31
2023 12 03 18 26  1.5  0.4 12.5  1.4  7.7 NNE  NE    AVERAGE  6.1  35
2023 12 03 17 56  1.4  0.4 12.5  1.4  7.7 NNE NNE    AVERAGE  6.0  32
2023 12 03 17 26  1.6  0.4 12.5  1.5  7.7 NNE NNE    AVERAGE  6.2  31
2023 12 03 16 56  1.4  0.4 13.3  1.4  7.7 NNE NNE    AVERAGE  5.8  26
2023 12 03 16 26  1.4  0.4 11.1  1.3  7.7 NNE  NE    AVERAGE  5.9  43
2023 12 03 15 56  1.5  0.3 13.3  1.4  7.7 NNE NNE    AVERAGE  5.8  25
2023 12 03 15 26  1.6  0.3 10.5  1.5  8.3 NNE NNE    AVERAGE  5.8  33
2023 12 03 14 56  1.6  0.3 12.5  1.5  8.3 NNE NNE    AVERAGE  5.8  33
2023 12 03 14 26  1.6  0.3 12.5  1.6  8.3 NNE NNE    AVERAGE  5.8  33
2023 12 03 13 56  1.6  0.4 10.5  1.6  7.7 NNE NNE    AVERAGE  5.8  33
2023 12 03 13 26  1.8  0.3 10.5  1.7  8.3 NNE NNE    AVERAGE  5.8  31
2023 12 03 12 56  1.7  0.3 10.5  1.7  7.7 NNE  NE      STEEP  5.8  38
2023 12 03 12 26  1.6  0.3 11.1  1.6  8.3 NNE NNE    AVERAGE  5.7  31
